iter	Passed	Remaining
0	2	426
1	5	432
2	9	466
3	12	440
4	14	433
5	17	418
6	19	399
7	21	387
8	24	384
9	27	379
10	29	372
11	31	366
12	34	365
13	37	363
14	40	361
15	43	360
16	45	356
17	48	354
18	50	351
19	53	350
20	56	347
21	59	345
22	62	343
23	65	341
24	67	338
25	70	336
26	74	340
27	77	337
28	80	337
29	84	338
30	88	339
31	91	335
32	93	332
33	97	332
34	101	332
35	104	330
36	108	332
37	112	332
38	115	328
39	119	328
40	124	329
41	128	329
42	130	325
43	134	325
44	138	322
45	142	322
46	146	320
47	149	316
48	153	315
49	156	313
50	160	310
51	163	308
52	166	304
53	169	302
54	173	299
55	176	296
56	179	293
57	182	290
58	186	288
59	190	286
60	194	283
61	198	281
62	201	277
63	204	274
64	207	271
65	211	268
66	214	266
67	218	263
68	221	260
69	225	257
70	228	254
71	232	251
72	235	248
73	240	246
74	243	243
75	246	240
76	250	237
77	254	235
78	258	232
79	261	228
80	265	226
81	269	223
82	273	220
83	276	217
84	280	214
85	284	211
86	288	208
87	291	205
88	295	202
89	299	199
90	303	196
91	307	194
92	311	190
93	315	187
94	319	185
95	322	181
96	325	177
97	328	174
98	330	170
99	334	167
100	337	163
101	339	159
102	342	156
103	345	152
104	348	149
105	350	145
106	353	142
107	356	138
108	359	135
109	362	131
110	365	128
111	367	124
112	370	121
113	373	117
114	376	114
115	378	110
116	380	107
117	383	104
118	386	100
119	389	97
120	391	93
121	394	90
122	396	87
123	399	83
124	402	80
125	405	77
126	408	73
127	410	70
128	413	67
129	416	64
130	418	60
131	421	57
132	423	54
133	426	50
134	429	47
135	432	44
136	435	41
137	437	38
138	440	34
139	444	31
140	447	28
141	450	25
142	453	22
143	455	18
144	458	15
145	461	12
146	464	9
147	467	6
148	470	3
149	473	0
